1626671835.872		407881	138566	38	135950	133327	312993	58	95916	0	200
1626671836.071		400048	137115	50	172178	90705	306484	58	95916	0	200
1626671836.265		438515	144724	23	162809	130959	337105	58	95916	0	200
1626671836.458		362544	136047	23	134932	91542	269729	58	95916	0	200
1626671836.646		346480	138669	44	115543	92224	251906	58	95908	0	200
1626671836.834		380887	145332	60	139397	96098	281459	58	95908	0	200
1626671837.017		353662	142202	74	116646	94740	256181	58	95900	0	200
1626671837.199		329680	132047	47	109791	87795	239927	58	95916	0	200
1626671837.378		347315	140040	50	113363	93862	252196	58	95908	0	200
1626671837.554		341293	137220	61	113072	90940	247649	58	95900	0	200
1626671837.728		424603	141878	51	189051	93623	327837	58	95916	0	200
1626671837.900		382326	136727	51	114340	131208	288221	58	95900	0	200
1626671838.070		392435	143338	59	114974	134064	293363	58	95908	0	200
1626671838.239		336979	134433	44	114459	88043	244335	58	95892	0	200
1626671838.404		350526	134213	49	127018	89246	259263	58	95892	0	200
1626671838.568		435967	133377	62	213689	88839	344555	58	95916	0	200
1626671838.732		345697	135534	61	120271	89831	253163	58	95900	0	200
1626671838.891		360218	148409	55	115875	95879	256900	58	95908	0	200
1626671839.051		415164	136836	53	187921	90354	321485	58	95916	0	200
1626671839.208		391712	134780	61	167800	89071	299092	58	95916	0	200
1626671839.519		573527	128152	58	330241	115076	485583	58	95900	0	200
1626671839.670		1278261	144223	43	416891	717104	1177227	58	95900	0	200
1626671840.558		1704969	132548	61	861051	711309	1614247	58	95916	0	200
1626671839.821		2487426	141387	60	945122	1400857	2390886	58	95908	0	200
1626671840.120		2979754	145589	52	1500678	1333435	2879166	58	95916	0	200
1626671841.535		1904564	142895	49	173688	1587932	1806383	58	95916	0	200
1626671840.983		2538672	132806	64	948272	1457530	2447539	58	95916	0	200
1626671843.590		198670	153146	61	45264	199	90784	58	1363	0	503
1626671843.711		179794	135432	61	44077	224	88384	58	1363	0	503
1626671841.124		2851346	133183	57	1783876	934230	2760102	58	95916	0	200
1626671839.971		4199259	141612	47	1155546	2902054	4102307	58	95916	0	200
1626671841.806		2434234	134386	60	1605686	694102	2342172	58	95916	0	200
1626671844.190		185028	139525	61	45210	232	90573	58	1363	0	503
1626671843.221		1262785	142340	51	365821	754573	1165535	58	95916	0	200
1626671840.267		4224658	141863	55	1644083	2438657	4127767	58	95916	0	200
1626671844.540		190934	143971	48	46681	234	93781	58	1363	0	503
1626671842.332		2454086	143461	71	914406	1396148	2353177	58	95916	0	200
1626671842.463		2376113	143421	176	784027	1448489	2277922	58	95916	0	200
1626671843.468		1408707	136389	57	426089	846172	1314115	58	95916	0	200
1626671842.719		2232136	131840	64	1204646	895586	2142258	58	95916	0	200
1626671842.203		2846695	149683	64	1448099	1248849	2747851	58	95916	0	200
1626671842.590		2459024	135865	66	1044802	1278291	2366100	58	95916	0	200
1626671841.400		3707201	143035	60	1437845	2126261	3609610	58	95916	0	200
1626671842.070		3254902	140172	41	1011241	2103448	3158588	58	95916	0	200
1626671844.072		1367478	144682	60	328806	893930	1268752	58	95916	0	200
1626671840.700		4937660	142712	49	1908423	2886476	4840277	58	95916	0	200
1626671844.308		1467602	141211	53	688913	637425	1371011	58	95916	0	200
1626671843.096		2733987	139228	61	1518434	1076264	2638697	58	95908	0	200
1626671842.971		2951920	145115	59	834250	1972496	2852396	58	95916	0	200
1626671842.845		3175563	141960	52	1192540	1841011	3078483	58	95916	0	200
1626671841.262		5000290	141488	56	1799758	3058988	4900539	58	95916	0	200
1626671844.656		1700282	146935	56	673248	880043	1597584	58	95900	0	200
1626671843.345		3048970	136418	55	1377148	1535349	2955371	58	95916	0	200
1626671846.534		178383	135541	58	42638	146	85850	58	1363	0	503
1626671844.886		1907402	140169	51	798753	968429	1812098	58	95916	0	200
1626671846.746		178193	134462	25	43596	110	87524	58	1363	0	503
1626671846.850		176649	133054	36	43463	96	87236	58	1363	0	503
1626671846.955		177324	133723	27	43457	117	86937	58	1363	0	503
1626671847.058		189414	145406	61	43732	215	87429	58	1363	0	503
1626671844.425		2900263	140308	63	1043378	1716514	2804518	58	95916	0	200
1626671844.771		2595248	132000	56	1109191	1354001	2504775	58	95916	0	200
1626671845.780		1646436	141313	58	484486	1020579	1547036	58	95916	0	200
1626671845.561		1881261	153603	48	475614	1251996	1772866	58	95916	0	200
1626671845.450		2009678	139404	57	501444	1368773	1914418	58	95916	0	200
1626671846.429		1185790	136425	60	177740	871565	1092091	58	95916	0	200
1626671845.001		2845634	139014	62	1216135	1490423	2750674	58	95916	0	200
1626671845.227		2671084	145129	55	1762930	762970	2568814	58	95916	0	200
1626671839.363		8614606	138617	60	444763	8031166	8519498	58	95916	0	200
1626671845.339		2687558	157273	59	1035672	1494554	2575194	58	95916	0	200
1626671845.998		2066949	132213	62	208464	1726210	1976386	58	95916	0	200
1626671843.832		4476278	127368	71	3639269	709570	4389250	58	95916	0	200
1626671848.366		175127	131870	52	42969	236	85974	58	1363	0	503
1626671848.465		187950	144275	46	43410	219	87336	58	1363	0	503
1626671845.113		3592102	135831	54	2168480	1287737	3497932	58	95908	0	200
1626671848.660		186662	140081	32	46386	163	92224	58	1363	0	503
1626671848.755		178590	134667	56	43635	232	87872	58	1363	0	503
1626671848.852		178451	134540	61	43613	237	87458	58	1363	0	503
1626671845.672		3441971	135740	40	1766626	1539565	3348948	58	95916	0	200
